INFO [2021-01-27 11:20:46,944] - [DBNormalPool.createConn.217   ] - init, create conn OK, pool: main, conn: com.mysql.jdbc.JDBC4Connection@47d384ee, time: 493
INFO [2021-01-27 11:20:46,946] - [DBNormalPool.getInstance.343  ] - main, Create db pool, class = com.ligerdev.appbase.utils.db.DBNormalPool
INFO [2021-01-27 11:20:47,054] - [BaseDAO.getListBySql0.1813    ] - $_ReupdateItemFromApi.main.17, sql=select * from clicktool_item| found 50 records, time=76
INFO [2021-01-27 11:24:13,934] - [DBNormalPool.createConn.217   ] - init, create conn OK, pool: main, conn: com.mysql.jdbc.JDBC4Connection@47d384ee, time: 525
INFO [2021-01-27 11:24:13,937] - [DBNormalPool.getInstance.343  ] - main, Create db pool, class = com.ligerdev.appbase.utils.db.DBNormalPool
INFO [2021-01-27 11:24:14,053] - [BaseDAO.getListBySql0.1813    ] - $_ReupdateItemFromApi.main.26, sql=select * from clicktool_item| found 50 records, time=97
INFO [2021-01-27 11:24:15,121] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo chống gù siêu nhẹ giành cho bé gái tiểu học 6-10 tuổi', itemid = '2069333465', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo học sinh', url = 'https://shopee.vn/balo-chống-gù-siêu-nhẹ-giành-cho-bé-gái-tiểu-học-6-10-tuổi-i.33906675.2069333465', best_idx_time_ytd = null, note1 = null, last_idx = null, status = 0, img = 'https://cf.shopee.vn/file/7654d35cfb39a0cd5fce811e5660f278_tn', ctime = '2021-01-21 00:18:17', countuser = 0, starttime = '2021-01-21 00:18:17', note3 = null, xint1 = null, xint2 = null, maxclick = 66, countclick = 0, best_idx = null, username = 'test1', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 0, best_idx_ytd = null, price_from = 268000, scan_idx_time = null, price_to = 268000, scan_idx = null WHERE id = 19| 1 rows is updated, time=6
INFO [2021-01-27 11:24:15,427] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo chống gù siêu xịn đủ hình. Cho bé 7-14 tuổi. Size 35x30x15cm.', itemid = '2078400288', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo học sinh', url = 'https://shopee.vn/balo-chống-gù-siêu-xịn-đủ-hình.-cho-bé-7-14-tuổi.-size-35x30x15cm.-i.33906675.2078400288', best_idx_time_ytd = null, note1 = null, last_idx = null, status = 0, img = 'https://cf.shopee.vn/file/d930cc7d0f1e8e7ef065af09b0baa7de_tn', ctime = '2021-01-21 00:18:17', countuser = 0, starttime = '2021-01-21 00:18:17', note3 = null, xint1 = null, xint2 = null, maxclick = 66, countclick = 0, best_idx = null, username = 'test1', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 0, best_idx_ytd = null, price_from = 268000, scan_idx_time = null, price_to = 268000, scan_idx = null WHERE id = 20| 1 rows is updated, time=6
INFO [2021-01-27 11:24:15,571] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo gù hộp xịn, siêu nhẹ  giành cho học sinh tiểu học 6-12 tuổi', itemid = '473692758', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo học sinh', url = 'https://shopee.vn/balo-gù-hộp-xịn-siêu-nhẹ-giành-cho-học-sinh-tiểu-học-6-12-tuổi-i.33906675.473692758', best_idx_time_ytd = null, note1 = null, last_idx = null, status = 0, img = 'https://cf.shopee.vn/file/a941dc39befcdada61c7a0fa33cfa379_tn', ctime = '2021-01-21 00:18:17', countuser = 0, starttime = '2021-01-21 00:18:17', note3 = null, xint1 = null, xint2 = null, maxclick = 66, countclick = 0, best_idx = null, username = 'test1', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 0, best_idx_ytd = null, price_from = 325000, scan_idx_time = '2021-01-21 12:31:40', price_to = 325000, scan_idx = 25 WHERE id = 21| 1 rows is updated, time=5
INFO [2021-01-27 11:24:15,680] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo chống gù siêu nhẹ giành cho bé gái tiểu học 6-10 tuổi', itemid = '2069333465', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo trẻ em', url = 'https://shopee.vn/balo-chống-gù-siêu-nhẹ-giành-cho-bé-gái-tiểu-học-6-10-tuổi-i.33906675.2069333465', best_idx_time_ytd = null, note1 = null, last_idx = null, status = 0, img = 'https://cf.shopee.vn/file/7654d35cfb39a0cd5fce811e5660f278_tn', ctime = '2021-01-21 00:18:17', countuser = 0, starttime = '2021-01-21 00:18:17', note3 = null, xint1 = null, xint2 = null, maxclick = 66, countclick = 0, best_idx = null, username = 'test1', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 0, best_idx_ytd = null, price_from = 268000, scan_idx_time = null, price_to = 268000, scan_idx = null WHERE id = 22| 1 rows is updated, time=6
INFO [2021-01-27 11:24:15,776] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo chống gù siêu xịn đủ hình. Cho bé 7-14 tuổi. Size 35x30x15cm.', itemid = '2078400288', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo trẻ em', url = 'https://shopee.vn/balo-chống-gù-siêu-xịn-đủ-hình.-cho-bé-7-14-tuổi.-size-35x30x15cm.-i.33906675.2078400288', best_idx_time_ytd = null, note1 = null, last_idx = null, status = 0, img = 'https://cf.shopee.vn/file/d930cc7d0f1e8e7ef065af09b0baa7de_tn', ctime = '2021-01-21 00:18:17', countuser = 0, starttime = '2021-01-21 00:18:17', note3 = null, xint1 = null, xint2 = null, maxclick = 66, countclick = 0, best_idx = null, username = 'test1', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 0, best_idx_ytd = null, price_from = 268000, scan_idx_time = null, price_to = 268000, scan_idx = null WHERE id = 23| 1 rows is updated, time=7
INFO [2021-01-27 11:24:16,335] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo gù hộp xịn, siêu nhẹ  giành cho học sinh tiểu học 6-12 tuổi', itemid = '473692758', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo trẻ em', url = 'https://shopee.vn/balo-gù-hộp-xịn-siêu-nhẹ-giành-cho-học-sinh-tiểu-học-6-12-tuổi-i.33906675.473692758', best_idx_time_ytd = null, note1 = null, last_idx = null, status = 0, img = 'https://cf.shopee.vn/file/a941dc39befcdada61c7a0fa33cfa379_tn', ctime = '2021-01-21 00:18:17', countuser = 0, starttime = '2021-01-21 00:18:17', note3 = null, xint1 = null, xint2 = null, maxclick = 66, countclick = 0, best_idx = null, username = 'test1', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 0, best_idx_ytd = null, price_from = 325000, scan_idx_time = null, price_to = 325000, scan_idx = null WHERE id = 24| 1 rows is updated, time=8
INFO [2021-01-27 11:24:16,522] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo chống gù siêu xịn đủ hình. Cho bé 7-14 tuổi. Size 35x30x15cm.', itemid = '2078400288', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo chống gù', url = 'https://shopee.vn/balo-chống-gù-siêu-xịn-đủ-hình.-cho-bé-7-14-tuổi.-size-35x30x15cm.-i.33906675.2078400288', best_idx_time_ytd = '2021-01-26 10:19:19', note1 = null, last_idx = 195, status = 1, img = 'https://cf.shopee.vn/file/d930cc7d0f1e8e7ef065af09b0baa7de_tn', ctime = '2021-01-21 01:38:52', countuser = 46, starttime = '2021-01-21 01:38:52', note3 = null, xint1 = null, xint2 = null, maxclick = 55, countclick = 46, best_idx = 195, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 00:06:27', best_idx_time = '2021-01-27 00:06:27', totalclick = 402, best_idx_ytd = 193, price_from = 268000, scan_idx_time = '2021-01-27 11:05:46', price_to = 268000, scan_idx = 256 WHERE id = 25| 1 rows is updated, time=4
INFO [2021-01-27 11:24:16,641] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Ba lô chống gù siêu nhẹ. đủ màu, hình cho học sinh tiểu học 7-14 tuổi.', itemid = '2070839600', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo chống gù', url = 'https://shopee.vn/ba-lô-chống-gù-siêu-nhẹ.-đủ-màu-hình-cho-học-sinh-tiểu-học-7-14-tuổi.-i.33906675.2070839600', best_idx_time_ytd = '2021-01-26 22:32:59', note1 = null, last_idx = 12, status = 1, img = 'https://cf.shopee.vn/file/c2dbadc9be69827526916c05b9aab79a_tn', ctime = '2021-01-21 01:38:53', countuser = 102, starttime = '2021-01-21 01:38:53', note3 = null, xint1 = null, xint2 = null, maxclick = 554, countclick = 101, best_idx = 12, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 11:21:34', best_idx_time = '2021-01-27 00:06:07', totalclick = 202, best_idx_ytd = -48, price_from = 268000, scan_idx_time = '2021-01-26 22:33:17', price_to = 268000, scan_idx = -48 WHERE id = 26| 1 rows is updated, time=5
INFO [2021-01-27 11:24:16,757] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Đồng hồ điện tử nam nữ SPORT AOSUN kiểu dáng thể thao, đầy đủ chức năng, chống nước tốt ( Mã: AAS01 )', itemid = '3939102438', shop = 'madeline_phukienthoitrang', shopid = '68362839', keyword = 'đồng hồ điện tử', url = 'https://shopee.vn/đồng-hồ-điện-tử-nam-nữ-sport-aosun-kiểu-dáng-thể-thao-đầy-đủ-chức-năng-chống-nước-tốt-(-mã-aas01-)-i.68362839.3939102438', best_idx_time_ytd = '2021-01-26 00:00:44', note1 = null, last_idx = 6, status = 1, img = 'https://cf.shopee.vn/file/76cea486262fc6ae3504f5ede471bbcd_tn', ctime = '2021-01-21 02:21:11', countuser = 101, starttime = '2021-01-21 02:21:11', note3 = null, xint1 = null, xint2 = null, maxclick = 556, countclick = 102, best_idx = 6, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 11:21:23', best_idx_time = '2021-01-27 00:01:30', totalclick = 2289, best_idx_ytd = 6, price_from = 22000, scan_idx_time = '2021-01-27 10:40:54', price_to = 22000, scan_idx = 14 WHERE id = 27| 1 rows is updated, time=6
